S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
,                                        155,,NIMB,,,                                        179.90,,                                        2.50,,                                        1.41,,                                        180.00,,                                        180.90,,                                        178.30,,"                                        61,578.00",,                                        177.40,
,                                        156,,NIMBPO,,,                                        148.80,,                                        0.80,,                                        0.54,,                                        146.20,,                                        150.90,,                                        146.20,,"                                        4,462.00",,                                        148.00,
,                                        157,,NLBBL,,,                                        624.90,,                                        7.10,,                                        1.15,,                                        630.00,,                                        630.10,,                                        609.00,,"                                        7,566.00",,                                        617.80,
,                                        158,,NLG,,,                                        808.00,,                                        8.50,,                                        1.06,,                                        814.50,,                                        819.00,,                                        798.00,,"                                        11,613.00",,                                        799.50,
,                                        159,,NLIC,,,                                        699.90,,                                        -0.10,,                                        -0.01,,                                        701.00,,                                        709.00,,                                        695.00,,"                                        31,423.00",,                                        700.00,
,                                        160,,NLICL,,,                                        599.80,,                                        3.00,,                                        0.50,,                                        600.10,,                                        607.00,,                                        598.00,,"                                        15,742.00",,                                        596.80,
,                                        161,,NMB,,,                                        226.00,,                                        -1.00,,                                        -0.44,,                                        227.00,,                                        227.00,,                                        224.10,,"                                        33,630.00",,                                        227.00,
,                                        162,,NMB50,,,                                        10.50,,                                        0.10,,                                        0.96,,                                        10.60,,                                        10.60,,                                        10.46,,"                                        4,800.00",,                                        10.40,
,                                        163,,NMBHF1,,,                                        11.03,,                                        -0.05,,                                        -0.45,,                                        11.02,,                                        11.08,,                                        11.02,,"                                        4,748.00",,                                        11.08,
,                                        164,,NMBMF,,,                                        527.30,,                                        -7.70,,                                        -1.44,,                                        530.20,,                                        540.00,,                                        527.30,,"                                        4,264.00",,                                        535.00,
,                                        165,,NMFBS,,,"                                        1,148.60",,                                        -23.30,,                                        -1.99,,"                                        1,160.00",,"                                        1,168.00",,"                                        1,148.60",,"                                        2,573.00",,"                                        1,171.90",
,                                        166,,NRIC,,,                                        722.50,,                                        1.60,,                                        0.22,,                                        721.00,,                                        734.00,,                                        717.10,,"                                        30,842.00",,                                        720.90,
